name,x,y,width
normal,150,125,25
normal,150,150,25
normal,175,150,25
normal,175,125,25
normal,300,200,25
normal,300,225,25
normal,325,225,25
normal,325,200,25
normal,300,50,25
normal,300,75,25
normal,325,75,25
normal,325,50,25
normal,150,275,25
normal,150,300,25
normal,175,300,25
normal,175,275,25
wall,0,50,25
wall,25,50,25
wall,25,75,25
wall,0,75,25
wall,100,50,25
wall,100,75,25
wall,125,50,25
wall,125,75,25
wall,50,125,25
wall,75,125,25
wall,75,150,25
wall,50,150,25
wall,25,200,25
wall,0,200,25
wall,0,225,25
wall,25,225,25
wall,100,200,25
wall,125,200,25
wall,125,225,25
wall,100,225,25
wall,50,275,25
wall,75,275,25
wall,75,300,25
wall,50,300,25
wall,200,50,25
wall,200,75,25
wall,225,75,25
wall,225,50,25
wall,250,125,25
wall,250,150,25
wall,275,125,25
wall,275,150,25
wall,350,125,25
wall,350,150,25
wall,375,125,25
wall,375,150,25
wall,200,200,25
wall,225,200,25
wall,200,225,25
wall,225,225,25
wall,250,275,25
wall,275,275,25
wall,250,300,25
wall,275,300,25
wall,350,275,25
wall,350,300,25
wall,375,275,25
wall,375,300,25
wall,400,200,25
wall,400,225,25
wall,425,200,25
wall,425,225,25
wall,400,50,25
wall,400,75,25
wall,425,75,25
wall,425,50,25
wall,450,275,25
wall,450,300,25
wall,475,300,25
wall,475,275,25
wall,450,125,25
wall,450,150,25
wall,475,150,25
wall,475,125,25
final,50,0,25
